model code|option code|option description|price|pricfrom|priceto|model year|incl_tax|active|deleted|standard
4A2CUA|7HF|Upper and lower interior elements in lea|               25826.09|20230803|99991231|2024|N|Y|N|N
4A2CUA|7HD|Upper and lower interior elements in lea|               14347.83|20230803|99991231|2024|N|Y|N|N
4A2CUA|6K8|Autonomous Emergency Braking Front Assis|                7826.09|20230803|99991231|2024|N|Y|N|N
4A2CUA|6FJ|Exterior mirror housings in Black|                2086.96|20230803|99991231|2024|N|Y|N|N
4A2CUA|5ZC|Variable head restraints for the front s|                2695.65|20230803|99991231|2024|N|Y|N|N
4A2CUA|510|STANDARD AFP - 60(MON)/ 100000(KM)|               66044.00|20240401|99991231|2024|N|Y|N|N
4A2CUA|4ZP|Black Styling package plus|               14434.78|20230803|99991231|2024|N|Y|N|N
4A2CUA|4ZD|Black Styling package|               11130.43|20230803|99991231|2024|N|Y|N|N
4A2CUA|4X9|Audi pre sense rear package|               13391.30|20230803|99991231|2024|N|Y|N|N
4A2SFA|PGB|No Option Description - Contact VWSA IT|               15043.48|20230803|99991231|2024|N|Y|N|N
4A2SFA|PCZ|City assistance package w/ Park Assist|               19217.39|20230803|99991231|2024|N|Y|N|N
4A2SFA|PCV|Park Assist package with park assist plu|               19130.43|20220615|99991231|2023|N|Y|N|N
4A2SFA|PCH|Lane change assist incl. pre sense rear|               16695.65|20230803|99991231|2024|N|Y|N|N
4A2SFA|PCH|Lane change assist incl. pre sense rear|               12721.74|20220615|99991231|2023|N|Y|N|N
4A2SFA|PCC|No Option Description - Contact VWSA IT|               36260.87|20230803|99991231|2024|N|Y|N|N
4A2SFA|PAO|Deselection of Audi phone box|               -2608.70|20220615|99991231|2023|N|Y|N|N
4A2SFA|PA9|Deselection of sunroof|              -18695.65|20220615|99991231|2023|N|Y|N|N
4A2SFA|PA8|Deselection of electric steering column|               -4782.61|20220615|99991231|2023|N|Y|N|N
4A2SFA|N7N|Alcantara/leather combination|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|N7K|Alcantara "Frequenz"/leather combination|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|N5K|Dinamica microfiber "Frequenz"/leather c|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|N5D|Valcona leather|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|N0K|Valcona/Milano leather comb. perforated|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|KS1|Head-up display|               26000.00|20230803|99991231|2024|N|Y|N|N
4A2SFA|KS1|Head-up display|               21852.17|20220615|99991231|2023|N|Y|N|N
4A2SFA|I56|255/35 R 21 tyres|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|GZ2|Servo closing doors|               11478.26|20230803|99991231|2024|N|Y|N|N
4A2SFA|GZ2|Servo closing doors|               10504.35|20220615|99991231|2023|N|Y|N|N
4A2SFA|GH2|quattro with sports differential|               25017.39|20220615|99991231|2023|N|Y|N|N
4A2SFA|GH2|quattro with sports differential|               27913.04|20230803|99991231|2024|N|Y|N|N
4A2SFA|PHZ|Dynamic all-wheel steering|               25017.39|20220615|99991231|2023|N|Y|N|N
4A2SFA|PHZ|Dynamic all-wheel steering|               35304.35|20230803|99991231|2024|N|Y|N|N
4A2SFA|PI1|Deselection of Matrix Leds|              -23739.13|20220615|99991231|2023|N|Y|N|N
4A2SFA|PS8|Individual contour seats in front w/ mem|               14521.74|20220615|99991231|2023|N|Y|N|N
4A2SFA|PV6|Memory feature for the front seats|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|PXI|No Option Description - Contact VWSA IT|               21043.48|20230803|99991231|2024|N|Y|N|N
4A2SFA|Q4Q|Sport seats plus, front|               15886.96|20220615|99991231|2023|N|Y|N|N
4A2SFA|Q4Q|Sport seats plus, front|               11739.13|20230803|99991231|2024|N|Y|N|N
4A2SFA|S2S|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|S3G|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|S3S|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|S7K|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|SA3|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|SA7|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|SA9|Production code|                   0.00|20220805|99991231|2023|N|Y|N|Y
4A2SFA|SC4|Production code|                   0.00|20220615|99991231|2023|N|Y|N|Y
4A2SFA|UE8|USB ports with charging function in rear|                2608.70|20220615|99991231|2023|N|Y|N|N
4A2SFA|UE8|USB ports with charging function in rear|                2782.61|20230803|99991231|2024|N|Y|N|N
4A2SFA|V60|21" Audi Sport wheel, 5-V-spoke, Black|               19652.17|20220615|99991231|2023|N|Y|N|N
4A2SFA|V60|21" Audi Sport wheel, 5-V-spoke, Black|               22173.91|20230803|99991231|2024|N|Y|N|N
4A2SFA|YVG|No Option Description - Contact VWSA IT|                   0.00|20230822|99991231|2023|N|Y|N|Y
4A2SFA|1BK|adaptive air suspension|               14339.13|20220615|99991231|2023|N|Y|N|N
4A2SFA|1BK|adaptive air suspension|               15826.09|20230803|99991231|2024|N|Y|N|N
4A2SFA|1D4|Trailer hitch|                8695.65|20220615|99991231|2023|N|Y|N|N
